"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20191","11","서울시","CS300036","조명용품","391973643739","3724639","346978939355","44994704384","58784346468","62067904913","68263945423","80774743828","77087998723","34658340342","10336364042","1075145258","74619720412","106502148084","153685329418","55854559659","236740908","202419865336","92105976730","55247835","7429758561","41429067318","96419787032","96483461113","52717002007","3097461","627178","626766","564311","621589","642461","642334","500533","126645","44","689156","1080084","1324164","625589","5602","1996687","862948","5718","155251","457115","698126","843734","699998"
"20191","11","서울시","CS300035","인테리어","36108422553","633690","28169673924","7938748629","5513989541","5128192691","5442685358","6162129017","5922677317","6256982635","1681765994","30080123","6508973163","10402530493","11787106910","6979635248","400096616","15445106810","13841793096","107436325","2813126914","5057196293","6599092095","7529068035","7180980258","465923","167767","88825","81309","95262","98803","101724","113493","54274","687","97875","160988","213305","145310","15525","296991","250178","4204","91497","97532","106915","127092","119923"
"20191","11","서울시","CS200036","고시원","2335692764","30306","1541969692","793723072","264181606","387485719","272954961","241485381","375862025","443021045","350702027","639527891","344892109","421750961","155631725","514842285","259047793","1305242552","933753365","13594114","876641698","479589900","369582977","332967754","166619474","18020","12286","2810","3895","3553","2902","4860","6972","5314","11199","3460","3198","3799","3609","5041","23527","5550","430","10638","6060","3650","3285","5014"
"20192","11","서울시","CS200016","당구장","17278625151","900425","12225167549","5053457602","2419149175","2516362763","2411806343","2344842647","2533006621","2852083441","2201374161","2084463182","457220390","1162227111","2384660007","5959920682","5230133779","13301521296","3394508149","273046983","2924517665","3258914640","4296606144","4207966125","1734977886","613561","286864","113105","119203","119803","121622","139828","159457","127407","117044","14445","47149","108609","312945","300233","779464","106715","29368","168356","138622","217739","235252","96849"
"20192","11","서울시","CS200025","자동차수리","219390193637","1365776","180417699678","38972493959","36358609828","36770989223","36013700240","33917287502","37357112885","36838192672","2134301287","88074471","32625770789","57757606028","75832488686","52214616969","871636694","136634553456","51030149099","47072567","8050548367","36872804305","51064299372","52079765061","39553116557","1110285","255491","236870","220879","215092","206754","230690","234150","21341","800","253927","381294","454796","270634","4325","873743","314558","690","63808","241672","314218","311240","256740"
"20192","11","서울시","CS300020","서적","119539657156","2775762","95798240751","23741416405","22899337592","18358480656","18773411771","18302326082","17464684650","13918283283","9823133122","651942","10329322495","33480658006","41998351055","30699078472","3031595186","41844830328","51287488209","1909943863","11028313900","18530126475","28360942990","23601397138","9701594166","1986104","789658","418294","386712","377085","390838","413175","448029","341629","31","201324","657401","843306","944200","129500","1115105","1567829","149837","474012","485813","860738","523047","189497"
"20192","11","서울시","CS300006","미곡판매","82968389146","1307828","70496572325","12471816821","14366107359","14684358408","11234818175","16737767785","13473520598","10791800180","1680016641","4922077210","25309248032","15746257554","24145800102","11223112190","1621894058","31901358735","40996170886","14743361","2769154752","5669559359","14929397201","23272340007","26242005941","1075440","232388","216788","211967","208165","216069","222451","183159","49229","57666","319693","281839","379499","241251","27880","545552","657790","1552","53213","121307","218879","385061","423369"
"20192","11","서울시","CS300009","청과상","362639641596","10913842","280862979620","81776661976","40950808482","62696383850","56001149211","50308591963","70906046114","55734513275","26042148701","9678874216","84343175397","99533463961","95500284132","66219110921","7364732969","147637597431","187194768297","187608335","8840697775","61299408368","59864546365","87172737772","117467465373","7995292","2918550","1433062","1677082","1576019","1627830","1681299","1823850","1094700","56567","1413644","2681574","3247417","3126260","388380","4157839","6385825","14880","471402","1467149","2254155","2726337","3609788"
"20192","11","서울시","CS300004","핸드폰","82643814248","1807063","64556439746","18087374502","12656789014","12343494431","12441720687","13044179890","14070255724","10705711432","7381663070","147796963","4857065655","20909686408","29581454983","26143530026","1004280213","38355275670","33052745173","569085540","11142660774","15930084955","19482757679","15244315849","9040689833","1383490","423573","285747","250942","276628","278122","292051","275904","147669","2503","122120","454685","556880","633746","37129","948454","810242","45935","421749","329912","411891","381535","167985"
"20192","11","서울시","CS300008","수산물판매","543706143847","9125023","319145058032","224561085815","59723512453","55588487674","62149460738","62288034582","79395562585","134857578581","89703507234","10607993638","76676177688","105452927641","126069217882","202050484910","22849342088","286350366645","192012687311","302133443","41999094119","97668489965","99163723233","115922406272","123307206893","5399742","3725281","994635","947530","1063630","1056663","1337284","2188280","1537001","146448","1050583","1788319","2397192","3415690","326791","4572269","3951162","9616","777758","1610335","1707465","2093424","2324844"
"20192","11","서울시","CS300025","자전거 및 기타운송장비","48281438148","330100","31403790453","16877647695","5866217670","5553796279","7245293624","5673982893","7064499987","10402481069","6475166626","35303088","1880455017","10701288772","18590582387","16733288446","340520438","34561521347","10173383907","111611741","4563613311","10514390107","13912111464","10597475341","5035703301","207122","122978","41219","36566","47112","37243","44982","73833","49145","41","20115","80478","107856","118948","2662","233283","77869","4615","37000","67314","87274","68507","46431"
"20192","11","서울시","CS100005","제과점","190648552580","21155916","136969369394","53679183186","25313539615","26519033180","28300169291","26895039805","29941587503","28794355285","24884827901","540518083","31072009409","41490776524","43137509223","57222771964","17184967377","68533787348","103306497723","2031445441","34502223824","43247461545","45208947752","30097491951","16752714636","15374656","5781260","2993032","3034082","3147940","2980144","3219458","3069371","2711889","49552","3914547","4401435","4494626","6308977","1986779","7722697","12633463","311523","4830248","5158582","4913168","3310052","1832611"
